  s i   cap  qdep  wr  wrnd  rrnd  str  wrsz  rdsz   warm   test     bw     iops      lat
  0 0   512    32  60   100    80    1    83   251    0.0    5.0   1.33        3  1373.98
  0 0   512     8  60   100   100    1   157   161    0.0    5.0   0.56        2   542.56
  0 0   512     2  80    60     0    1   170   102    0.0    5.0   0.23        1  1986.48
  0 0   512    32   0     0    60    1    32   187    0.0    5.0  14.53       73   411.31
  0 0   512    64  80     0   100    1   199   221    0.0    5.0   3.87        7  1401.85
  0 0   512    64 100   100    20    1    70   251    0.0    5.0   0.92        1  3229.64
  0 0   512    16   0    60    40    1   234   182    0.0    5.0  14.19       77   203.25
  0 0   512     2  80    60    20    1    24   220    0.0    5.0   0.10        2   759.33
  0 0   512     1 100    40    20    1    80    11    0.0    5.0   0.09        1   997.89
  0 0   512     2   0    40    20    1    22   167    0.0    5.0  12.68       77    25.79
  0 0   512    16  40    20     0    1   241   132    0.0    5.0   2.04        8   655.17
  0 0   512     4   0     0    20    1    79   133    0.0    5.0  11.24       86    46.42
  0 0   512     4  80   100    20    1    41    31    0.0    5.0   0.09        2  1624.10
  0 0   512    32  60   100    60    1    94    21    0.0    5.0   0.62        4  1542.33
  0 0   512     1 100    40     0    1    39   209    0.0    5.0   0.03        1  1094.02
  0 0   512    64  20     0     0    1    50   152    0.0    5.0   5.64       29  2036.12
  0 0   512     4  60   100    80    1   245   246    0.0    5.0   0.57        2  1508.41
  0 0   512     2  60    80    60    1   234   111    0.0    5.0   0.25        1  1690.23
  0 0   512    64  40     0    80    1    22   102    0.0    5.0   1.57        9  1730.85
  0 0   512    32  60    40     0    1    27   191    0.0    5.0   1.05        4   894.59
  0 0   512    16 100    60     0    1   138    97    0.0    5.0   0.70        2  1910.49
  0 0   512    64  60    60    40    1    62    85    0.0    5.0   1.75       13   304.18
  0 0   512     4  60    80    40    1   109   218    0.0    5.0   0.32        1  1655.44
  0 0   512    32  80     0     0    1    43   135    0.0    5.0   5.38       85   267.32
  0 0   512    64  80    20    60    1   223   129    0.0    5.0   2.80        1  3651.66
  0 0   512    32   0   100    80    1   131   208    0.0    5.0  18.62       85   360.74
  0 0   512    64  20    40    20    1   232    70    0.0    5.0   2.08        8   447.01
  0 0   512    32 100     0    60    1   170   228    0.0    5.0   3.45       14  1699.38
  0 0   512    32  20    40   100    1    77    54    0.0    5.0   0.63        5  3449.24
  0 0   512     2 100    40    80    1   136   130    0.0    5.0   0.24        1  1272.43
  0 0   512    16   0    20   100    1   111    37    0.0    5.0   8.41      230    69.07
  0 0   512    64  80    20    60    1   135   161    0.0    5.0   2.78        8  1108.09
  0 0   512     8  60    40   100    1    28   179    0.0    5.0   0.31        2  2243.64
  0 0   512    64  60     0    80    1    41   174    0.0    5.0   1.65        5   329.32
  0 0   512    64 100     0     0    1   156   125    0.0    5.0   4.32       16  2595.13
  0 0   512    64 100    60    20    1    49   152    0.0    5.0   0.69        2  3680.83
  0 0   512     2 100     0    40    1   130   224    0.0    5.0   2.21       17    88.69
  0 0   512     8   0    40    40    1   137   119    0.0    5.0  16.91      144    55.10
  0 0   512     8  20    20    80    1    61    32    0.0    5.0   0.17        3  2347.27
  0 0   512    64   0    80     0    1    26   123    0.0    5.0  13.18       97   620.13
  0 0   512     8 100    60    40    1    71   197    0.0    5.0   0.19        1  3031.47
  0 0   512     8 100     0     0    1    89    52    0.0    5.0   2.54       28   275.66
  0 0   512     2  80    40    40    1   145    62    0.0    5.0   0.17        1  1669.03
  0 0   512    32  40    80     0    1   143   242    0.0    5.0   1.50        1  2013.65
  0 0   512     4   0    80    60    1    23   203    0.0    5.0  16.45       82    48.37
  0 0   512     4   0    40    40    1   148   217    0.0    5.0  16.09       75    52.92
  0 0   512    16  40   100    20    1   227   193    0.0    5.0   1.40        4   364.05
  0 0   512     2  80    60     0    1    60   162    0.0    5.0   0.17        1  1402.23
  0 0   512     4  20     0     0    1   205    29    0.0    5.0   2.82       47    85.42
  0 0   512     8  40    40   100    1    62    94    0.0    5.0   0.23        1  1391.86
  0 0   512     2  20    20    40    1   219    63    0.0    5.0   0.46        5   307.59
  0 0   512     1 100   100    20    1   177   137    0.0    5.0   0.17        1  1249.90
  0 0   512    32   0     0   100    1    50   106    0.0    5.0  16.99      158   195.46
  0 0   512     8   0    60    80    1    53   112    0.0    5.0  16.76      152    52.47
  0 0   512    64 100    60   100    1    38     4    0.0    5.0   0.53        1  3497.73
  0 0   512     1  40    40    80    1    49    29    0.0    5.0   0.10        3   380.70
  0 0   512    16   0    40    80    1   248   206    0.0    5.0  16.87       81   193.34
  0 0   512     1  20    20    80    1    69   111    0.0    5.0   0.37        4   194.04
  0 0   512     1  40     0    60    1    83    31    0.0    5.0   0.10        2   623.24
  0 0   512     2  60     0   100    1   145   126    0.0    5.0   0.50        3   423.82
  0 0   512     1  80   100    20    1   173   234    0.0    5.0   0.10        0  2448.49
  0 0   512     2   0   100   100    1     7   200    0.0    5.0  16.16       82    24.25
  0 0   512    64   0   100    60    1   208   133    0.0    5.9  12.39       85   564.16
  0 0   512    16  60    60    60    1     9    71    0.0    5.0   0.18        2  1023.06
  0 0   512     8  80    60     0    1   152   141    0.0    5.0   0.46        2  1071.20
  0 0   512     8 100     0     0    1   118   164    0.0    5.0   2.58       21   348.45
  0 0   512    64  40    60   100    1    24    78    0.0    5.0   1.02        7  1356.34
  0 0   512     4 100    60    40    1   219   139    0.0    5.0   0.34        1  3689.86
  0 0   512     8  20   100    20    1    26    24    0.0    5.0   0.10        3   784.01
  0 0   512     2  60    40    60    1    53   221    0.0    5.0   0.33        2   904.57
  0 0   512     2  60   100    80    1   127   150    0.0    5.0   0.21        1  1663.53
  0 0   512    64   0    20    80    1    89   162    0.0    5.0  16.28       90   632.81
  0 0   512     8  40    60    20    1     3   102    0.0    5.0   0.30        3  2622.46
  0 0   512     4   0    60   100    1    48   170    0.0    5.0  14.76       88    45.20
  0 0   512     4  60    60     0    1   255     6    0.0    5.0   0.40        1  1283.78
  0 0   512    64  20     0    60    1   144    81    0.0    5.0   1.94        8   244.78
  0 0   512     4   0    80    20    1   174   241    0.0    5.0  14.72       62    64.41
  0 0   512    16  80   100    80    1   127   128    0.0    5.0   0.47        1  3247.97
  0 0   512     8  60    60   100    1    45     7    0.0    5.0   0.09        1  3239.14
  0 0   512     1  40    60   100    1    26   116    0.0    5.0   0.25        3   242.12
  0 0   512     1   0    80    20    1    35    11    0.0    5.0   3.21      299     3.33
  0 0   512    32 100     0    60    1    55   173    0.0    5.0   2.73       44   657.17
  0 0   512    64  20   100    80    1   227   169    0.0    5.0   2.89        4   360.80
  0 0   512    16  60     0    60    1   235   177    0.0    5.0   1.18        3  2055.93
  0 0   512    16  60   100    20    1   106   205    0.0    5.0   0.89        3   436.58
  0 0   512     4 100    20    80    1    37   107    0.0    5.0   0.18        4   646.35
  0 0   512    32 100   100     0    1   249   219    0.0    5.0   1.75        1  2495.68
  0 0   512     4 100    60    80    1   185    21    0.0    5.0   0.47        2  2020.85
  0 0   512     4 100    40   100    1   189   249    0.0    5.0   0.59        2  1155.13
  0 0   512     4 100    80    20    1   205   127    0.0    5.0   0.48        2   698.27
  0 0   512    32  80    20    40    1     4    78    0.0    5.0   0.20        4  1618.05
  0 0   512     8  80    60   100    1   234   151    0.0    5.0   0.56        1  1375.85
  0 0   512    32  60   100    20    1   229   110    0.0    5.0   1.86        4   277.54
  0 0   512    32  60     0    40    1    70    29    0.0    5.0   0.63        5  2496.89
  0 0   512    64  20    20    20    1   187    84    0.0    5.0   2.63       12  1604.95
  0 0   512    16  20   100    40    1    68   243    0.0    5.0   1.18        3   238.18

