iops	wrnd	bw	lat	rrnd	i	cap	rdsz	s	warm	qdep	wr	str	test	wght	wrsz	
5247	50	143.47	2.28	50	0	128	12	0	0.0	12	100	1	60.0	1	28	
2111	50	243.31	24.62	0	0	128	132	0	0.0	52	50	1	60.0	1	104	
3316	0	204.04	15.68	50	0	128	96	0	0.0	52	75	1	60.0	1	52	
4189	0	200.31	3.82	50	0	128	76	0	0.0	16	75	1	60.0	1	40	
673	50	160.40	53.48	100	0	128	248	0	0.0	36	100	1	60.0	1	244	
4001	50	515.90	9.99	0	0	128	132	0	0.0	40	0	1	60.0	1	12	
1616	100	161.11	9.90	100	0	128	24	0	0.0	16	75	1	60.0	1	128	
1714	100	278.02	11.66	0	0	128	212	0	0.0	20	50	1	60.0	1	120	
5245	100	512.29	6.10	100	0	128	100	0	0.0	32	0	1	60.0	1	236	
3746	50	307.45	11.74	50	0	128	136	0	0.0	44	50	1	60.0	1	32	
2086	50	407.48	3.83	50	0	128	200	0	0.0	8	0	1	60.0	1	28	
821	100	160.51	43.81	50	0	128	64	0	0.0	36	100	1	60.0	1	200	
1120	50	167.37	14.28	50	0	128	60	0	0.0	16	75	1	60.0	1	184	
3995	0	156.08	8.01	100	0	128	24	0	0.0	32	100	1	60.0	1	40	
5769	50	157.78	9.01	100	0	128	224	0	0.0	52	100	1	60.0	1	28	
3549	100	339.20	15.77	100	0	128	128	0	0.0	56	25	1	60.0	1	8	
4453	0	156.56	2.69	0	0	128	240	0	0.0	12	100	1	60.0	1	36	
2590	0	250.67	4.63	100	0	128	228	0	0.0	12	75	1	60.0	1	56	
1160	100	135.78	0.86	100	0	128	80	0	0.0	1	50	1	60.0	1	160	
718	100	160.03	27.83	50	0	128	120	0	0.0	20	100	1	60.0	1	228	
22467	100	438.81	0.35	0	0	128	20	0	0.0	8	0	1	60.0	1	4	
1272	0	164.02	15.72	0	0	128	32	0	0.0	20	50	1	60.0	1	232	
26445	100	25.83	0.45	100	0	128	232	0	0.0	12	100	1	60.0	1	1	
3645	100	163.69	7.68	100	0	128	16	0	0.0	28	75	1	60.0	1	56	
2050	0	375.55	13.65	50	0	128	244	0	0.0	28	25	1	60.0	1	16	
1711	50	218.69	14.02	50	0	128	224	0	0.0	24	75	1	60.0	0	100	
2817	50	451.11	1.42	100	0	128	164	0	0.0	4	0	1	60.0	1	148	
2438	0	156.51	19.68	100	0	128	4	0	0.0	48	25	1	60.0	1	252	
669	0	159.58	47.79	100	0	128	136	0	0.0	32	100	1	60.0	1	244	
1060	100	161.61	41.48	50	0	128	112	0	0.0	44	100	1	60.0	1	156	
1097	0	158.57	21.87	0	0	128	220	0	0.0	24	100	1	60.0	1	148	
1428	100	192.52	36.41	0	0	128	76	0	0.0	52	50	1	60.0	1	200	
2914	50	199.32	12.35	50	0	128	52	0	0.0	36	50	1	60.0	1	88	
2888	50	208.92	5.54	100	0	128	128	0	0.0	16	75	1	60.0	1	56	
32065	50	250.51	0.25	100	0	128	8	0	0.0	8	0	1	60.0	1	228	
2874	100	336.83	15.31	50	0	128	156	0	0.0	44	25	1	60.0	1	12	
880	50	176.30	50.00	50	0	128	136	0	0.0	44	75	1	60.0	1	228	
2542	100	158.92	15.73	100	0	128	48	0	0.0	40	100	1	60.0	1	64	
2391	100	523.12	18.40	100	0	128	224	0	0.0	44	0	1	60.0	1	8	
2679	50	157.00	2.98	50	0	128	60	0	0.0	8	100	1	60.0	1	60	
3080	50	255.68	9.09	50	0	128	232	0	0.0	28	75	1	60.0	1	36	
1330	50	184.54	21.04	100	0	128	124	0	0.0	28	75	1	60.0	1	148	
3153	50	227.91	10.14	0	0	128	72	0	0.0	32	50	1	60.0	1	76	
802	50	185.08	44.84	0	0	128	212	0	0.0	36	75	1	60.0	1	244	
827	100	161.86	9.67	50	0	128	48	0	0.0	8	75	1	60.0	1	252	
