iops	wrnd	bw	lat	rrnd	i	cap	rdsz	s	warm	qdep	wr	str	test	wght	wrsz	
5770	50	157.79	8.32	100	0	128	84	0	0.0	48	100	1	60.0	1	28	
686	100	148.79	1.46	0	0	128	180	0	0.0	1	75	1	60.0	1	236	
1333	100	223.88	38.99	100	0	128	148	0	0.0	52	50	1	60.0	1	196	
1708	0	283.37	25.75	0	0	128	236	0	0.0	44	50	1	60.0	1	104	
810	50	154.96	1.23	100	0	128	224	0	0.0	1	100	1	60.0	1	196	
3685	100	158.35	4.34	0	0	128	252	0	0.0	16	100	1	60.0	1	44	
3986	50	513.92	11.04	100	0	128	132	0	0.0	44	0	1	60.0	0	76	
3003	100	469.35	14.65	0	0	128	160	0	0.0	44	0	1	60.0	1	220	
4641	0	471.39	2.58	100	0	128	104	0	0.0	12	0	1	60.0	1	120	
1707	0	263.38	11.71	50	0	128	196	0	0.0	20	50	1	60.0	1	120	
2028	0	499.19	21.69	100	0	128	252	0	0.0	44	0	1	60.0	1	196	
74026	100	72.29	0.48	100	0	128	1	0	0.0	36	0	1	60.0	1	208	
1361	50	159.49	14.70	0	0	128	84	0	0.0	20	100	1	60.0	1	120	
6434	0	289.51	9.32	50	0	128	84	0	0.0	60	50	1	60.0	1	8	
2342	0	340.80	17.07	100	0	128	184	0	0.0	40	25	1	60.0	1	44	
2534	100	158.42	12.62	100	0	128	128	0	0.0	32	100	1	60.0	1	64	
1009	0	180.45	39.64	50	0	128	144	0	0.0	40	75	1	60.0	1	196	
1640	100	221.01	34.14	0	0	128	240	0	0.0	56	75	1	60.0	1	104	
8890	50	486.15	0.90	100	0	128	56	0	0.0	8	0	1	60.0	1	36	
2343	100	203.95	18.77	50	0	128	44	0	0.0	44	25	1	60.0	0	224	
4488	0	157.78	2.67	100	0	128	104	0	0.0	12	100	1	60.0	1	36	
1215	0	163.75	6.58	0	0	128	48	0	0.0	8	75	1	60.0	1	168	
5780	0	158.05	1.38	0	0	128	20	0	0.0	8	100	1	60.0	1	28	
2086	0	311.88	19.17	100	0	128	148	0	0.0	40	25	1	60.0	1	168	
1629	50	159.13	29.46	100	0	128	220	0	0.0	48	100	1	60.0	1	100	
1155	0	160.38	34.62	0	0	128	28	0	0.0	40	75	1	60.0	1	180	
1719	50	163.04	25.58	0	0	128	28	0	0.0	44	75	1	60.0	1	120	
1308	50	158.47	15.28	100	0	128	52	0	0.0	20	100	1	60.0	1	124	
1145	0	205.70	17.47	50	0	128	136	0	0.0	20	50	1	60.0	1	232	
2336	50	196.42	22.26	0	0	128	60	0	0.0	52	50	1	60.0	1	112	
1482	100	215.69	18.89	0	0	128	236	0	0.0	28	75	1	60.0	1	120	
806	100	160.80	49.57	100	0	128	180	0	0.0	40	100	1	60.0	1	204	
20236	100	395.25	2.77	100	0	128	20	0	0.0	56	0	1	60.0	1	236	
1656	50	169.81	28.97	0	0	128	48	0	0.0	48	75	1	60.0	1	124	
1354	50	320.19	23.62	50	0	128	240	0	0.0	32	25	1	60.0	1	248	
10348	50	485.10	5.02	0	0	128	48	0	0.0	52	0	1	60.0	1	124	
2788	100	179.71	21.52	50	0	128	28	0	0.0	60	50	1	60.0	1	104	
10583	0	176.08	0.38	100	0	128	44	0	0.0	4	75	1	60.0	1	8	
1346	50	192.44	26.73	0	0	128	88	0	0.0	36	50	1	60.0	1	204	
1430	0	128.57	0.70	50	0	128	44	0	0.0	1	75	1	60.0	1	108	
9157	50	465.02	3.93	50	0	128	52	0	0.0	36	0	1	60.0	1	68	
2793	50	234.57	11.45	0	0	128	200	0	0.0	32	75	1	60.0	1	48	
3383	0	436.18	17.73	50	0	128	132	0	0.0	60	0	1	60.0	1	96	
3765	100	441.25	11.69	50	0	128	120	0	0.0	44	0	1	60.0	1	24	
1607	0	156.93	9.96	100	0	128	116	0	0.0	16	100	1	60.0	1	100	
2312	100	460.77	24.22	50	0	128	204	0	0.0	56	0	1	60.0	1	32	
2218	0	242.60	12.62	50	0	128	120	0	0.0	28	50	1	60.0	0	104	
2228	0	311.22	19.74	0	0	128	140	0	0.0	44	25	1	60.0	1	152	
794	50	155.14	20.14	50	0	128	4	0	0.0	16	100	1	60.0	0	200	
1064	0	158.14	56.35	50	0	128	156	0	0.0	60	100	1	60.0	1	152	
2649	50	331.12	15.10	50	0	128	136	0	0.0	40	25	1	60.0	0	104	
6426	0	294.98	4.98	100	0	128	48	0	0.0	32	25	1	60.0	1	44	
2251	50	180.32	7.10	100	0	128	76	0	0.0	16	75	1	60.0	1	84	
24128	50	377.00	0.66	0	0	128	16	0	0.0	16	0	1	60.0	1	16	
1247	100	160.82	28.86	100	0	128	108	0	0.0	36	100	1	60.0	1	132	
40869	50	159.65	1.17	50	0	128	244	0	0.0	48	100	1	60.0	1	4	
1199	100	276.43	36.70	0	0	128	236	0	0.0	44	0	1	60.0	1	212	
1198	100	234.23	36.70	100	0	128	192	0	0.0	44	50	1	60.0	1	208	
1287	50	233.79	15.54	0	0	128	180	0	0.0	20	50	1	60.0	1	192	
14767	0	14.42	0.06	100	0	128	32	0	0.0	1	100	1	60.0	0	1	
1777	50	159.75	27.00	50	0	128	24	0	0.0	48	100	1	60.0	1	92	
2922	50	490.89	15.06	0	0	128	172	0	0.0	44	0	1	60.0	0	16	
2354	0	328.82	13.59	50	0	128	148	0	0.0	32	25	1	60.0	0	128	
817	0	159.82	68.47	0	0	128	72	0	0.0	56	100	1	60.0	1	200	
8449	50	495.09	1.89	50	0	128	60	0	0.0	16	0	1	60.0	1	188	
845	50	143.62	1.18	50	0	128	148	0	0.0	1	50	1	60.0	1	200	
718	100	159.91	11.14	0	0	128	180	0	0.0	8	100	1	60.0	1	228	
1135	50	226.11	7.04	100	0	128	188	0	0.0	8	50	1	60.0	1	220	
2021	50	364.99	7.92	0	0	128	224	0	0.0	16	25	1	60.0	1	68	
2093	100	292.21	11.46	100	0	128	128	0	0.0	24	25	1	60.0	1	188	
1490	50	171.76	8.05	0	0	128	76	0	0.0	12	75	1	60.0	0	132	
933	50	165.54	47.11	50	0	128	64	0	0.0	44	75	1	60.0	1	220	
2193	50	197.00	5.47	100	0	128	116	0	0.0	12	75	1	60.0	1	84	
2939	0	338.82	20.41	50	0	128	232	0	0.0	60	50	1	60.0	1	4	
1834	50	293.70	30.53	100	0	128	148	0	0.0	56	25	1	60.0	1	212	
1141	50	243.15	49.04	100	0	128	228	0	0.0	56	50	1	60.0	1	208	
1286	0	193.37	15.55	100	0	128	172	0	0.0	20	75	1	60.0	1	148	
1199	50	176.92	16.68	50	0	128	112	0	0.0	20	75	1	60.0	1	164	
3615	100	508.35	6.64	0	0	128	144	0	0.0	24	0	1	60.0	1	96	
1266	0	197.95	25.27	50	0	128	196	0	0.0	32	75	1	60.0	1	148	
3641	100	248.62	3.29	50	0	128	56	0	0.0	12	25	1	60.0	1	112	
2497	0	260.81	19.22	100	0	128	84	0	0.0	48	25	1	60.0	1	176	
2509	0	360.05	19.13	0	0	128	168	0	0.0	48	25	1	60.0	1	84	
1079	50	229.73	11.12	100	0	128	200	0	0.0	12	50	1	60.0	1	236	
1956	50	250.24	12.27	0	0	128	100	0	0.0	24	25	1	60.0	1	224	
4722	100	424.23	0.85	50	0	128	92	0	0.0	4	0	1	60.0	1	180	
7513	0	498.94	3.19	0	0	128	68	0	0.0	24	0	1	60.0	1	160	
1277	50	246.81	18.80	50	0	128	212	0	0.0	24	50	1	60.0	0	184	
2209	0	263.08	18.11	0	0	128	164	0	0.0	40	50	1	60.0	1	80	
3828	50	197.92	2.09	50	0	128	36	0	0.0	8	25	1	60.0	1	104	
2971	0	278.46	16.16	50	0	128	132	0	0.0	48	50	1	60.0	1	60	
785	0	179.93	55.99	100	0	128	180	0	0.0	44	75	1	60.0	1	252	
2344	50	512.96	20.47	0	0	128	224	0	0.0	48	0	1	60.0	1	184	
1871	0	168.66	27.78	0	0	128	24	0	0.0	52	50	1	60.0	0	160	
1940	0	356.14	28.86	100	0	128	208	0	0.0	56	25	1	60.0	1	128	
1745	0	156.82	32.09	0	0	128	60	0	0.0	56	100	1	60.0	1	92	
3698	50	476.79	6.49	0	0	128	132	0	0.0	24	0	1	60.0	0	16	
10727	100	419.04	0.74	0	0	128	40	0	0.0	8	0	1	60.0	1	40	
2124	100	481.50	28.24	50	0	128	232	0	0.0	60	0	1	60.0	1	156	
1769	50	152.07	20.34	100	0	128	12	0	0.0	36	100	1	60.0	1	88	
2570	0	394.08	15.56	100	0	128	192	0	0.0	40	25	1	60.0	1	52	
675	50	155.85	76.93	50	0	128	108	0	0.0	52	100	1	60.0	0	236	
781	50	155.79	51.16	0	0	128	252	0	0.0	40	100	1	60.0	1	204	
2382	50	158.21	20.15	50	0	128	4	0	0.0	48	100	1	60.0	1	68	
1101	0	236.70	18.16	100	0	128	216	0	0.0	20	50	1	60.0	1	224	
2321	50	525.95	8.61	50	0	128	232	0	0.0	20	0	1	60.0	1	232	
3383	50	158.57	4.73	0	0	128	180	0	0.0	16	100	1	60.0	1	48	
4882	100	200.27	11.47	0	0	128	60	0	0.0	56	75	1	60.0	1	36	
3196	0	268.41	12.51	100	0	128	72	0	0.0	40	25	1	60.0	1	128	
999	100	159.99	24.02	50	0	128	168	0	0.0	24	100	1	60.0	1	164	
1087	100	203.91	0.92	50	0	128	192	0	0.0	1	0	1	60.0	1	52	
3136	0	526.70	2.55	100	0	128	172	0	0.0	8	0	1	60.0	1	120	
3795	100	118.61	0.26	0	0	128	32	0	0.0	1	0	1	60.0	0	8	
1921	100	472.67	2.08	0	0	128	252	0	0.0	4	0	1	60.0	1	128	
4607	0	521.90	3.47	0	0	128	116	0	0.0	16	0	1	60.0	1	112	
10600	50	496.89	3.77	0	0	128	48	0	0.0	40	0	1	60.0	1	196	
1155	100	185.16	10.39	0	0	128	76	0	0.0	12	50	1	60.0	1	252	
3499	0	219.03	5.71	100	0	128	40	0	0.0	20	25	1	60.0	1	136	
2045	0	503.27	3.91	0	0	128	252	0	0.0	8	0	1	60.0	1	188	
2168	50	336.47	23.98	50	0	128	168	0	0.0	52	25	1	60.0	0	132	
5940	0	487.32	10.10	0	0	128	84	0	0.0	60	0	1	60.0	1	84	
1622	100	296.41	27.12	0	0	128	176	0	0.0	44	25	1	60.0	1	220	
1021	0	166.59	58.71	0	0	128	56	0	0.0	60	75	1	60.0	1	204	
3601	100	246.31	2.22	0	0	128	88	0	0.0	8	50	1	60.0	1	52	
1683	50	157.75	4.75	100	0	128	252	0	0.0	8	100	1	60.0	1	96	
6362	50	186.44	4.40	0	0	128	36	0	0.0	28	75	1	60.0	0	28	
1221	0	192.22	39.29	100	0	128	188	0	0.0	48	75	1	60.0	1	152	
3149	50	255.58	11.43	0	0	128	68	0	0.0	36	25	1	60.0	1	128	
2599	50	419.12	18.47	100	0	128	220	0	0.0	48	25	1	60.0	1	1	
1333	50	175.06	12.00	100	0	128	44	0	0.0	16	50	1	60.0	1	224	
2150	0	340.00	14.88	50	0	128	176	0	0.0	32	25	1	60.0	1	120	
2340	0	340.59	23.93	50	0	128	160	0	0.0	56	25	1	60.0	1	116	
2889	50	115.67	0.34	50	0	128	44	0	0.0	1	25	1	60.0	1	32	
2170	100	389.96	14.75	100	0	128	184	0	0.0	32	0	1	60.0	1	200	
1905	50	189.70	31.49	0	0	128	52	0	0.0	60	50	1	60.0	1	152	
7020	0	30.86	0.14	50	0	128	1	0	0.0	1	50	1	60.0	1	8	
2644	0	176.12	3.02	0	0	128	36	0	0.0	8	50	1	60.0	1	100	
1010	100	190.54	59.35	50	0	128	208	0	0.0	60	75	1	60.0	0	188	
3048	100	184.68	14.43	0	0	128	56	0	0.0	44	75	1	60.0	1	64	
879	100	159.93	27.30	50	0	128	12	0	0.0	24	75	1	60.0	1	244	
1515	100	183.51	36.95	0	0	128	52	0	0.0	56	50	1	60.0	1	196	
921	50	172.78	30.38	50	0	128	108	0	0.0	28	75	1	60.0	1	220	
1673	100	201.14	28.68	0	0	128	156	0	0.0	48	75	1	60.0	1	112	
6475	0	505.92	4.94	100	0	128	80	0	0.0	32	0	1	60.0	1	108	
3662	50	514.97	5.46	0	0	128	144	0	0.0	20	0	1	60.0	0	112	
2673	50	256.04	17.95	50	0	128	76	0	0.0	48	25	1	60.0	1	164	
1784	50	194.70	15.69	50	0	128	64	0	0.0	28	50	1	60.0	1	160	
1177	50	165.75	0.85	0	0	128	248	0	0.0	1	50	1	60.0	1	40	
6990	0	409.61	6.87	50	0	128	60	0	0.0	48	0	1	60.0	1	172	
697	50	160.79	57.34	100	0	128	212	0	0.0	40	100	1	60.0	0	236	
2159	0	282.86	12.96	100	0	128	180	0	0.0	28	50	1	60.0	1	88	
1293	100	186.92	15.47	100	0	128	136	0	0.0	20	75	1	60.0	1	152	
6844	0	153.75	6.43	50	0	128	20	0	0.0	44	75	1	60.0	1	24	
720	50	160.33	22.22	50	0	128	32	0	0.0	16	100	1	60.0	1	228	
3644	100	313.59	9.88	50	0	128	164	0	0.0	36	50	1	60.0	1	12	
3129	50	158.93	16.62	0	0	128	120	0	0.0	52	100	1	60.0	1	52	
2244	0	157.78	8.91	0	0	128	172	0	0.0	20	100	1	60.0	1	72	
6026	50	282.53	5.97	100	0	128	76	0	0.0	36	50	1	60.0	1	20	
973	50	159.58	8.22	50	0	128	192	0	0.0	8	100	1	60.0	1	168	
10259	100	160.31	4.68	0	0	128	136	0	0.0	48	100	1	60.0	1	16	
852	0	159.90	70.39	50	0	128	28	0	0.0	60	100	1	60.0	1	192	
668	50	161.95	77.79	0	0	128	72	0	0.0	52	100	1	60.0	0	248	
1202	0	196.79	19.96	100	0	128	96	0	0.0	24	50	1	60.0	1	240	
9792	50	497.28	4.90	100	0	128	52	0	0.0	48	0	1	60.0	1	56	
3213	50	514.66	17.43	50	0	128	164	0	0.0	56	0	1	60.0	1	136	
15787	100	431.70	3.80	100	0	128	28	0	0.0	60	0	1	60.0	1	164	
2504	50	320.48	22.36	0	0	128	132	0	0.0	56	25	1	60.0	1	128	
1061	50	198.72	11.31	0	0	128	240	0	0.0	12	75	1	60.0	1	176	
1932	100	313.34	28.97	100	0	128	244	0	0.0	56	50	1	60.0	1	88	
1316	50	159.42	21.27	0	0	128	1	0	0.0	28	100	1	60.0	1	124	
724	50	161.26	22.09	50	0	128	164	0	0.0	16	100	1	60.0	1	228	
4781	100	50.25	0.21	100	0	128	1	0	0.0	1	25	1	60.0	1	40	
3356	100	393.36	8.34	50	0	128	120	0	0.0	28	0	1	60.0	1	8	
838	100	165.36	4.77	100	0	128	100	0	0.0	4	75	1	60.0	1	236	
2208	100	194.50	19.92	100	0	128	52	0	0.0	44	50	1	60.0	1	128	
1192	50	172.61	30.20	100	0	128	76	0	0.0	36	75	1	60.0	0	172	
1211	0	190.51	42.92	50	0	128	164	0	0.0	52	75	1	60.0	1	160	
2635	100	298.54	21.25	50	0	128	108	0	0.0	56	25	1	60.0	1	140	
2255	50	502.29	12.41	0	0	128	228	0	0.0	28	0	1	60.0	1	64	
7983	50	304.08	5.01	100	0	128	44	0	0.0	40	25	1	60.0	0	24	
1780	50	215.50	33.70	100	0	128	100	0	0.0	60	50	1	60.0	1	148	
1356	50	209.40	17.69	100	0	128	236	0	0.0	24	75	1	60.0	1	132	
935	50	160.86	42.75	100	0	128	76	0	0.0	40	100	1	60.0	1	176	
1005	50	161.10	55.69	0	0	128	4	0	0.0	56	100	1	60.0	1	164	
11421	0	346.08	1.75	100	0	128	40	0	0.0	20	25	1	60.0	1	4	
707	100	160.09	1.41	50	0	128	168	0	0.0	1	100	1	60.0	1	232	
1349	50	158.10	5.93	50	0	128	32	0	0.0	8	100	1	60.0	1	120	
2125	100	157.72	3.76	0	0	128	84	0	0.0	8	100	1	60.0	0	76	
1111	100	160.59	28.80	50	0	128	60	0	0.0	32	100	1	60.0	1	148	
8062	0	157.47	6.45	50	0	128	132	0	0.0	52	100	1	60.0	1	20	
947	50	118.86	1.05	100	0	128	28	0	0.0	1	50	1	60.0	1	228	
2010	100	360.73	3.98	50	0	128	236	0	0.0	8	25	1	60.0	1	28	
2342	0	269.70	17.07	50	0	128	180	0	0.0	40	50	1	60.0	1	56	
4612	50	225.23	5.20	0	0	128	64	0	0.0	24	50	1	60.0	0	36	
1700	100	371.99	21.17	0	0	128	224	0	0.0	36	0	1	60.0	0	152	
3718	100	159.76	0.26	0	0	128	248	0	0.0	1	100	1	60.0	1	44	
3140	50	254.53	1.27	50	0	128	88	0	0.0	4	25	1	60.0	1	68	
2373	0	363.48	20.23	50	0	128	180	0	0.0	48	25	1	60.0	1	88	
1633	50	212.20	7.35	50	0	128	208	0	0.0	12	75	1	60.0	1	108	
2131	0	269.58	18.76	0	0	128	248	0	0.0	40	50	1	60.0	1	12	
2601	50	334.35	4.61	100	0	128	232	0	0.0	12	50	1	60.0	1	32	
1828	100	342.97	19.68	50	0	128	208	0	0.0	36	25	1	60.0	1	144	
2409	0	498.92	18.26	100	0	128	212	0	0.0	44	0	1	60.0	1	80	
2010	0	157.12	29.84	50	0	128	252	0	0.0	60	100	1	60.0	0	80	
2563	50	208.02	4.68	0	0	128	140	0	0.0	12	75	1	60.0	0	64	
40951	100	159.97	1.17	50	0	128	16	0	0.0	48	100	1	60.0	1	4	
4674	100	311.45	4.28	50	0	128	224	0	0.0	20	75	1	60.0	1	16	
2727	100	314.65	20.53	50	0	128	176	0	0.0	56	50	1	60.0	1	60	
1959	100	340.79	30.61	100	0	128	188	0	0.0	60	25	1	60.0	1	148	
1802	50	362.93	33.29	100	0	128	228	0	0.0	60	25	1	60.0	1	140	
4644	50	489.85	6.03	0	0	128	108	0	0.0	28	0	1	60.0	1	88	
2512	50	117.72	0.40	50	0	128	56	0	0.0	1	50	1	60.0	1	40	
1368	50	159.97	32.16	100	0	128	12	0	0.0	44	75	1	60.0	0	156	
2163	100	507.26	24.03	0	0	128	240	0	0.0	52	0	1	60.0	0	140	
1694	100	226.73	11.80	50	0	128	248	0	0.0	20	75	1	60.0	0	100	
3161	0	314.94	6.32	100	0	128	172	0	0.0	20	50	1	60.0	1	32	
1455	100	159.19	0.69	50	0	128	28	0	0.0	1	100	1	60.0	1	112	
1988	0	209.59	26.15	100	0	128	80	0	0.0	52	50	1	60.0	0	136	
3963	0	394.80	12.11	100	0	128	128	0	0.0	48	25	1	60.0	1	24	
2231	0	409.70	7.17	0	0	128	188	0	0.0	16	0	1	60.0	1	56	
876	50	160.85	13.69	50	0	128	164	0	0.0	12	100	1	60.0	1	188	
3381	0	191.55	5.91	100	0	128	36	0	0.0	20	50	1	60.0	1	80	
5204	0	243.61	9.99	50	0	128	168	0	0.0	52	75	1	60.0	1	8	
1792	100	294.01	11.16	0	0	128	168	0	0.0	20	0	1	60.0	1	44	
2063	100	280.44	13.57	50	0	128	120	0	0.0	28	25	1	60.0	0	196	
1133	50	172.32	14.12	0	0	128	96	0	0.0	16	75	1	60.0	1	176	
12797	0	449.93	2.19	100	0	128	36	0	0.0	28	0	1	60.0	1	236	
1928	100	184.78	2.07	50	0	128	72	0	0.0	4	50	1	60.0	1	124	
2810	50	505.09	19.93	100	0	128	184	0	0.0	56	0	1	60.0	1	52	
991	50	160.12	28.25	50	0	128	28	0	0.0	28	75	1	60.0	1	212	
4119	100	361.81	6.79	100	0	128	116	0	0.0	28	25	1	60.0	1	12	
13163	100	308.52	2.43	0	0	128	24	0	0.0	32	0	1	60.0	1	152	
3803	100	167.18	14.72	50	0	128	24	0	0.0	56	75	1	60.0	1	52	
3798	50	229.91	12.64	100	0	128	128	0	0.0	48	75	1	60.0	1	40	
3443	100	417.05	9.29	0	0	128	124	0	0.0	32	0	1	60.0	0	180	
2013	0	188.57	9.93	50	0	128	56	0	0.0	20	50	1	60.0	1	136	
3736	0	204.30	4.28	50	0	128	52	0	0.0	16	50	1	60.0	1	60	
1937	100	312.29	28.90	0	0	128	164	0	0.0	56	25	1	60.0	0	168	
1740	100	169.48	20.68	50	0	128	28	0	0.0	36	50	1	60.0	1	172	
3795	50	518.98	11.59	100	0	128	140	0	0.0	44	0	1	60.0	1	140	
819	0	190.64	68.31	100	0	128	244	0	0.0	56	75	1	60.0	1	236	
4513	0	141.06	12.40	100	0	128	232	0	0.0	56	100	1	60.0	1	32	
6750	100	158.22	6.52	0	0	128	144	0	0.0	44	100	1	60.0	1	24	
748	100	160.79	32.07	0	0	128	100	0	0.0	24	100	1	60.0	1	220	
3361	50	256.30	7.14	0	0	128	100	0	0.0	24	50	1	60.0	1	56	
3532	100	441.54	3.40	0	0	128	128	0	0.0	12	0	1	60.0	1	240	
2401	0	314.17	6.66	0	0	128	216	0	0.0	16	50	1	60.0	0	52	
1552	50	272.50	10.30	100	0	128	224	0	0.0	16	50	1	60.0	1	136	
1416	50	166.18	31.06	50	0	128	24	0	0.0	44	50	1	60.0	1	216	
40831	0	159.50	0.49	0	0	128	68	0	0.0	20	100	1	60.0	1	4	
1962	50	279.70	12.23	0	0	128	128	0	0.0	24	25	1	60.0	1	200	
1163	0	190.73	3.44	50	0	128	124	0	0.0	4	50	1	60.0	0	212	
4601	50	521.27	7.82	100	0	128	116	0	0.0	36	0	1	60.0	1	64	
1943	0	157.76	4.11	100	0	128	20	0	0.0	8	75	1	60.0	1	104	
3248	100	494.97	17.24	50	0	128	156	0	0.0	56	0	1	60.0	1	88	
1610	50	189.02	17.38	100	0	128	60	0	0.0	28	50	1	60.0	1	180	
7586	100	503.80	6.85	50	0	128	68	0	0.0	52	0	1	60.0	1	128	
2341	0	247.03	18.79	0	0	128	240	0	0.0	44	75	1	60.0	1	64	
3595	0	200.16	4.45	100	0	128	96	0	0.0	16	75	1	60.0	1	44	
3236	100	268.94	8.65	50	0	128	72	0	0.0	28	25	1	60.0	1	124	
1462	50	281.31	2.73	100	0	128	192	0	0.0	4	25	1	60.0	0	212	
2759	0	528.04	4.35	50	0	128	196	0	0.0	12	0	1	60.0	1	52	
1784	100	380.15	8.97	50	0	128	248	0	0.0	16	25	1	60.0	1	128	
5125	100	160.19	9.36	100	0	128	4	0	0.0	48	100	1	60.0	1	32	
1450	0	158.67	33.09	0	0	128	88	0	0.0	48	100	1	60.0	1	112	
692	100	162.36	57.75	50	0	128	60	0	0.0	40	100	1	60.0	1	240	
15253	50	417.09	0.52	0	0	128	28	0	0.0	8	0	1	60.0	1	208	
4936	50	520.59	5.67	0	0	128	108	0	0.0	28	0	1	60.0	1	56	
2173	0	345.94	11.04	0	0	128	176	0	0.0	24	25	1	60.0	1	124	
1520	100	160.41	39.46	100	0	128	116	0	0.0	60	100	1	60.0	0	108	
3952	100	401.40	1.01	0	0	128	104	0	0.0	4	0	1	60.0	1	112	
2648	100	315.19	7.55	50	0	128	240	0	0.0	20	50	1	60.0	1	4	
1814	50	336.69	13.23	50	0	128	200	0	0.0	24	25	1	60.0	1	160	
4314	50	349.54	8.34	100	0	128	92	0	0.0	36	25	1	60.0	1	56	
5331	100	458.25	10.50	50	0	128	88	0	0.0	56	0	1	60.0	1	80	
1323	0	222.19	18.14	50	0	128	156	0	0.0	24	50	1	60.0	1	188	
2701	100	506.54	16.29	0	0	128	192	0	0.0	44	0	1	60.0	1	24	
5115	50	499.58	10.16	0	0	128	100	0	0.0	52	0	1	60.0	1	232	
1712	100	160.50	14.02	50	0	128	116	0	0.0	24	100	1	60.0	0	96	
877	50	161.01	13.68	100	0	128	232	0	0.0	12	100	1	60.0	1	188	
1914	100	370.42	2.09	50	0	128	252	0	0.0	4	25	1	60.0	1	36	
35020	50	34.20	0.34	50	0	128	16	0	0.0	12	100	1	60.0	1	1	
2231	100	198.44	10.75	100	0	128	40	0	0.0	24	25	1	60.0	1	244	
1547	100	157.61	7.75	0	0	128	8	0	0.0	12	50	1	60.0	1	200	
915	50	167.12	1.09	100	0	128	184	0	0.0	1	25	1	60.0	0	196	
724	50	161.41	66.23	0	0	128	176	0	0.0	48	100	1	60.0	1	228	
